timestamp_ms,ax,ay,az,gx,gy,gz,mx,my,mz,grav_x,grav_y,grav_z,lat,lon,alt,speed,accuracy,bearing,bearing_acc,gps_fresh
0.000000,-0.130600,0.297900,9.207100,-0.079400,-0.044900,0.132300,1.250000,-31.870000,6.810000,0.001500,0.016700,9.806600,52.442604,-1.523212,97870.000000,9.546506,5.000000,281.284420,3.000000,1
100.000000,1.104600,-2.022700,8.273500,0.075000,0.112400,-0.016800,2.060000,-33.940000,6.940000,0.016700,-0.002200,9.806500,,,,,,,,0
200.000000,0.679400,0.504400,11.232600,-0.175900,0.012900,0.094400,2.130000,-34.620000,7.000000,0.002000,0.036800,9.806500,,,,,,,,0
301.000000,2.658200,-0.117600,11.361600,0.003200,0.013200,-0.086600,2.310000,-35.120000,7.310000,-0.040000,-0.025300,9.806500,,,,,,,,0
400.000000,-0.875600,-3.934200,9.596900,0.197100,0.053000,0.023300,3.130000,-35.250000,7.440000,-0.023500,-0.010200,9.806600,,,,,,,,0
500.000000,2.176100,-0.942600,9.510400,0.081100,-0.021800,-0.020800,2.440000,-35.620000,7.750000,-0.034800,-0.025300,9.806500,,,,,,,,0
600.000000,0.881100,0.007000,10.027300,-0.067400,-0.041500,0.042500,3.440000,-35.560000,8.310000,0.027500,0.024700,9.806500,,,,,,,,0
700.000000,0.139000,-1.457000,9.926000,0.054100,0.027300,-0.016800,3.130000,-35.620000,8.310000,0.037300,0.018800,9.806500,,,,,,,,0
800.000000,0.769200,-0.044800,10.337300,0.113600,-0.050400,0.108500,3.000000,-35.750000,7.560000,-0.059000,0.013800,9.806400,,,,,,,,0
901.000000,0.339000,-1.613400,9.648400,-0.092300,-0.066700,0.094000,2.630000,-36.000000,7.690000,-0.035800,-0.012400,9.806500,,,,,,,,0
1000.000000,2.384700,-0.782900,9.728700,-0.096900,0.020800,-0.020000,2.630000,-35.750000,8.630000,0.018600,0.008300,9.806500,52.442561,-1.523064,97870.000000,8.699311,5.000000,283.925028,3.000000,1
1100.000000,-0.481200,-0.512100,10.013700,0.105000,-0.096700,0.009000,2.000000,-35.810000,8.500000,0.021800,0.009900,9.806600,,,,,,,,0
1200.000000,0.972800,-0.170200,8.562600,-0.117600,-0.030300,-0.076300,2.630000,-35.560000,8.060000,0.024300,-0.007900,9.806500,,,,,,,,0
1300.000000,2.289600,-0.263600,9.612900,-0.223900,-0.118800,-0.041600,3.560000,-35.870000,8.000000,0.040500,-0.031000,9.806400,,,,,,,,0
1400.000000,2.259300,3.305100,10.152600,-0.331500,-0.254300,0.188300,3.940000,-34.870000,7.380000,0.024700,0.044400,9.806400,,,,,,,,0
1501.000000,3.660200,-2.033500,8.272100,0.391800,-0.256300,0.164800,2.380000,-35.190000,7.380000,0.029700,0.060800,9.806300,,,,,,,,0
1600.000000,-3.869400,-5.069900,10.281600,0.228000,-0.101200,0.186200,2.750000,-34.690000,9.000000,0.010700,0.012500,9.806600,,,,,,,,0
1700.000000,0.172600,-3.396900,9.896400,0.238100,-0.045400,0.231300,3.250000,-34.750000,8.810000,0.102400,0.075500,9.805700,,,,,,,,0
1800.000000,-0.383200,0.287200,11.633100,0.235200,-0.016100,0.115800,3.810000,-35.560000,8.750000,-0.060900,-0.026500,9.806400,,,,,,,,0
1900.000000,-0.379500,-1.394300,9.784400,-0.319400,0.021300,-0.037300,4.560000,-35.250000,8.060000,-0.058000,-0.030200,9.806400,,,,,,,,0
2001.000000,1.029800,0.222800,9.503500,-0.154800,0.055400,-0.125700,5.000000,-35.190000,8.060000,0.024100,0.003400,9.806600,52.442518,-1.523464,97870.000000,9.261943,5.000000,279.589743,3.000000,1
2100.000000,1.423200,-1.158300,9.662000,0.055600,0.024600,0.000500,5.630000,-35.120000,7.630000,-0.001500,-0.014800,9.806600,,,,,,,,0
2200.000000,1.103400,-1.919600,10.327800,0.071800,0.091100,-0.003400,5.690000,-34.370000,7.810000,0.003000,-0.002100,9.806600,,,,,,,,0
2300.000000,0.896900,-0.734100,9.491500,-0.018200,0.088600,-0.037200,4.690000,-33.370000,8.250000,0.002600,-0.009300,9.806600,,,,,,,,0
2400.000000,1.032100,-0.615000,9.361500,-0.038700,0.068200,-0.005700,3.690000,-33.060000,7.940000,0.003500,-0.000500,9.806600,,,,,,,,0
2501.000000,1.816500,-0.304500,9.105700,0.018700,0.054300,0.041100,1.940000,-34.120000,9.060000,-0.000900,0.000400,9.806600,,,,,,,,0
2601.000000,1.838700,-0.787100,9.664000,-0.043700,0.075900,0.020000,3.690000,-34.310000,10.630000,0.029500,0.011100,9.806500,,,,,,,,0
2700.000000,2.264900,-0.043500,9.998300,0.104800,0.136600,-0.072400,3.380000,-34.940000,10.810000,0.021200,0.009900,9.806500,,,,,,,,0
2800.000000,0.501700,-0.855900,10.199900,0.202200,0.059900,-0.024400,3.810000,-34.440000,10.810000,-0.022500,-0.027000,9.806600,,,,,,,,0
2903.000000,0.475600,-0.950200,9.617400,-0.097500,0.089800,-0.089000,3.690000,-34.940000,10.380000,-0.022800,-0.041800,9.806500,,,,,,,,0
3000.000000,1.146000,-0.930400,9.989700,-0.027500,0.061300,0.023000,3.440000,-34.870000,10.690000,0.019800,0.006700,9.806600,52.442537,-1.523605,97870.000000,10.062204,5.000000,274.777751,3.000000,1
3100.000000,1.646200,0.527400,10.386200,0.018100,0.147400,-0.115100,3.940000,-34.690000,10.560000,0.023800,0.002600,9.806500,,,,,,,,0
3200.000000,1.421200,-1.258800,9.494300,0.071900,0.103900,-0.031100,3.500000,-34.810000,11.130000,0.017100,-0.009200,9.806600,,,,,,,,0
3300.000000,2.278200,-0.281600,10.055300,0.000800,0.135200,-0.056300,3.810000,-35.000000,11.500000,-0.024800,-0.013200,9.806500,,,,,,,,0
3400.000000,0.713400,-1.222800,9.164400,0.005100,0.072200,0.015000,3.750000,-34.940000,10.690000,-0.027200,-0.023400,9.806600,,,,,,,,0
3501.000000,-0.995800,-1.386900,9.949900,-0.186700,0.154400,-0.009300,4.000000,-34.870000,11.000000,-0.037800,0.003900,9.806500,,,,,,,,0
3601.000000,1.317500,0.000300,9.533000,-0.129000,0.092600,-0.037200,3.560000,-35.690000,10.560000,0.049900,0.020200,9.806400,,,,,,,,0
